epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.9393,1.67713,4.26382,1.72614,0.0039,0.22864,0.00463,0.00244,1.94237,3.93617,2.01449,2.727e-05,2.727e-05,2.727e-05
2,129.695,1.57844,3.85677,1.55613,0.64621,0.33509,0.39004,0.22935,1.46094,3.53555,1.45248,6.15302e-05,6.15302e-05,6.15302e-05
3,191.163,1.36173,1.90643,1.36409,0.67283,0.4728,0.56098,0.34169,1.28663,6.05465,1.38046,9.33907e-05,9.33907e-05,9.33907e-05
4,243.9,1.24824,1.39911,1.26953,0.78147,0.69948,0.77275,0.46282,1.37463,1.87172,1.46349,0.000122851,0.000122851,0.000122851
5,308.801,1.24219,1.21177,1.21565,0.86242,0.72887,0.81576,0.57116,1.19399,1.28137,1.30658,0.000149912,0.000149912,0.000149912
6,379.442,1.31648,1.13382,1.30584,0.76329,0.66372,0.77337,0.52349,1.24462,1.23195,1.29013,0.000174573,0.000174573,0.000174573
7,443.183,1.24845,1.19081,1.2478,0.8252,0.74979,0.83499,0.56061,1.2023,1.15949,1.25669,0.000196835,0.000196835,0.000196835
8,508.731,1.18522,1.01847,1.22074,0.76889,0.71048,0.797,0.51988,1.24305,1.19442,1.28481,0.000216697,0.000216697,0.000216697
9,581.448,1.09042,0.93211,1.12903,0.79656,0.73131,0.80437,0.47437,1.42117,1.13345,1.429,0.000234158,0.000234158,0.000234158
10,647.911,1.24022,1.01425,1.23732,0.79603,0.79174,0.85682,0.52549,1.23802,1.00399,1.30048,0.000249221,0.000249221,0.000249221
11,698.527,1.1263,1.05539,1.21912,0.86627,0.7892,0.90575,0.61081,1.17053,0.92433,1.25834,0.000261883,0.000261883,0.000261883
12,760.525,1.15528,1.00848,1.17965,0.79512,0.84897,0.87842,0.57424,1.31308,1.07387,1.39241,0.000272146,0.000272146,0.000272146
13,813.598,1.17315,0.93451,1.22243,0.84258,0.69718,0.83773,0.54764,1.22465,1.04609,1.33985,0.000280008,0.000280008,0.000280008
14,862.727,1.11969,0.82015,1.13637,0.7868,0.76477,0.83505,0.54108,1.16452,1.05886,1.29277,0.000285471,0.000285471,0.000285471
15,909.622,1.08043,0.82223,1.1507,0.80894,0.87239,0.9112,0.5858,1.22908,0.96043,1.34994,0.000288535,0.000288535,0.000288535
16,972.02,1.10408,0.85447,1.1864,0.86602,0.89771,0.92837,0.65347,1.11235,0.81145,1.2563,0.000289198,0.000289198,0.000289198
17,1015.39,1.02928,0.74724,1.10045,0.93922,0.91927,0.95805,0.70785,1.00302,0.75046,1.17608,0.000287462,0.000287462,0.000287462
18,1077.02,0.9824,0.71171,1.09299,0.89198,0.91221,0.93906,0.69946,1.01071,0.84145,1.20958,0.000283326,0.000283326,0.000283326
19,1121.12,0.96387,0.67418,1.09513,0.81491,0.92374,0.93068,0.68926,1.00633,0.83361,1.18583,0.000276791,0.000276791,0.000276791
20,1175.47,1.01078,0.73163,1.15169,0.71775,0.90199,0.84571,0.60027,1.02513,0.99446,1.22356,0.000267855,0.000267855,0.000267855
21,1273.92,0.93658,0.67811,1.04198,0.73621,0.77806,0.7566,0.52433,1.08446,1.08364,1.24002,0.00025652,0.00025652,0.00025652
22,1328.1,0.9532,0.71587,1.07109,0.73248,0.81626,0.72285,0.50351,1.08518,1.23125,1.25186,0.000242785,0.000242785,0.000242785
23,1379.7,0.89492,0.66451,1.08687,0.76134,0.77526,0.76611,0.53572,1.04059,1.12925,1.21699,0.00022665,0.00022665,0.00022665
24,1427.56,0.93155,0.65205,1.11216,0.78607,0.82173,0.8349,0.60873,0.97805,0.73536,1.15355,0.000208116,0.000208116,0.000208116
25,1479.38,0.94421,0.67907,1.07908,0.89006,0.91963,0.93988,0.70223,0.92495,0.56708,1.09992,0.000187181,0.000187181,0.000187181
26,1531.88,0.90805,0.61053,1.04352,0.8569,0.95792,0.96311,0.74652,0.88008,0.52491,1.08285,0.000159075,0.000159075,0.000159075
27,1579.94,0.88382,0.61308,1.0688,0.90254,0.96382,0.97421,0.76088,0.86406,0.52174,1.08014,0.000129078,0.000129078,0.000129078
28,1627.31,0.89641,0.58756,1.05568,0.90292,0.98235,0.9815,0.77664,0.84111,0.51922,1.06555,9.9081e-05,9.9081e-05,9.9081e-05
29,1668.63,0.82269,0.57585,1.02786,0.92588,0.98439,0.98695,0.78726,0.81439,0.49673,1.03606,6.9084e-05,6.9084e-05,6.9084e-05
30,1715.11,0.7842,0.55622,1.02323,0.94252,0.98171,0.99085,0.79689,0.79478,0.47819,1.01636,3.9087e-05,3.9087e-05,3.9087e-05
